"","FC","log2(FC)","p.ajusted","-log10(p)"
"Theophylline",26.648,4.7359,3.2731e-09,8.485
"Isorhynchophylline",20.898,4.3853,2.2386e-07,6.65
"Tartaric acid",0.3017,-1.7288,1.4407e-06,5.8414
"Propionic acid",54.547,5.7694,1.4716e-06,5.8322
"Guanine",0.12218,-3.0329,2.0963e-06,5.6785
"L-Lactic acid",0.34026,-1.5553,2.0963e-06,5.6785
"5'-DEOXYADENOSINE",0.085975,-3.5399,2.6116e-06,5.5831
"Arabinose 5-phosphate",3.5231,1.8168,3.0436e-06,5.5166
"UREIDOPROPIONATE",16.935,4.0819,3.6609e-06,5.4364
"2,5-DIHYDROXYBENZOATE",0.20992,-2.2521,3.7805e-06,5.4225
"N-ACETYLSEROTONIN",5.9928,2.5832,1.1993e-05,4.9211
"CYTIDINE",8.3075,3.0544,1.2901e-05,4.8894
"Indole-3-butyric acid",0.13274,-2.9133,1.3245e-05,4.878
"D-Glucose",106.65,6.7367,1.3872e-05,4.8579
"PANTOTHENATE",30.036,4.9086,2.2351e-05,4.6507
"DETHIOBIOTIN",8.1222,3.0219,3.0247e-05,4.5193
"N-epsilon-Acetyllysine",3.321,1.7316,3.1611e-05,4.5002
"DEOXYGUANOSINE-MONOPHOSPHATE",0.26497,-1.9161,7.266e-05,4.1387
"Phenylglycine",0.029401,-5.088,9.0197e-05,4.0448
"DIHYDROOROTATE",0.34422,-1.5386,0.00015124,3.8203
"Pyridoxine",0.074187,-3.7527,0.00034819,3.4582
"DEOXYCYTIDINE",0.13844,-2.8526,0.00034819,3.4582
"2-Hydroxyisobutyric acid",0.16249,-2.6216,0.00034819,3.4582
"ROSMARINATE",2.6943,1.4299,0.00037186,3.4296
"Cimifugin",0.3108,-1.6859,0.00048172,3.3172
"3-Phenyllactic acid",0.39317,-1.3468,0.00058816,3.2305
"Rosigltazone",0.43796,-1.1911,0.00067221,3.1725
"CAFFEATE",49.948,5.6424,0.0010264,2.9887
"Indole-3-acetyl-L-alanine",8.4136,3.0727,0.0032561,2.4873
"N-ACETYLTRYPTOPHAN",0.12548,-2.9945,0.0086938,2.0608
"URIDINE",0.27824,-1.8456,0.0092945,2.0318
"DEOXYURIDINE-MONOPHOSPHATE",12.92,3.6916,0.013763,1.8613
"N-ACETYLMETHIONINE",0.452,-1.1456,0.013764,1.8613
"Maleate",0.46557,-1.1029,0.018218,1.7395
"DOPAMINE",2.3544,1.2354,0.022282,1.652
"Asarinin",0.40068,-1.3195,0.029187,1.5348
"SALSOLINOL",0.20067,-2.3171,0.044188,1.3547
"3,4-DIHYDROXYBENZOATE",2.4505,1.2931,0.044188,1.3547
"Brucine",2.2331,1.159,0.044188,1.3547
"3-METHYLGLUTACONATE",2.5503,1.3507,0.046739,1.3303
"URATE",0.45835,-1.1255,0.049398,1.3063
